Disease	colorectal cancer	Rank_colorectal cancer
NA18641	1.3796	0.6593
NA18642	0.8106	0.1949
NA18643	2.0893	0.9065
NA18644	0.8641	0.2372
NA18645	0.5089	0.0248
NA18646	0.8811	0.25
NA18647	1.8274	0.8542
NA18648	1.0532	0.3974
NA18740	3.5796	0.9932
NA18745	0.996	0.345
NA18747	0.9801	0.3331
NA18748	1.3573	0.6418
NA18749	0.9419	0.3047
NA18757	0.7812	0.1697
NA18853	1.3221	0.6158
NA18856	1.0734	0.4173
NA18858	0.7773	0.1653
NA18861	1.562	0.7608
NA18864	0.9091	0.2732
NA18865	1.064	0.4069
NA18867	1.7805	0.8438
NA18868	1.9052	0.8726
NA18870	2.3775	0.9457
NA18871	1.3232	0.6178
NA18873	1.5955	0.7736
NA18874	1.1607	0.4884
NA18876	0.8952	0.2612
NA18877	1.8371	0.859
NA18878	1.3221	0.6158
NA18879	1.4555	0.7097
NA18881	1.093	0.4325
NA18907	1.1024	0.4401
NA18908	1.8086	0.851
NA18909	1.8551	0.863
NA18910	1.103	0.4409
NA18912	1.516	0.7404
NA18915	2.343	0.9417
NA18916	1.1196	0.4537
NA18917	1.3827	0.6617
NA18923	1.065	0.4089
NA18924	0.7875	0.1737
NA18933	1.7634	0.8379
NA18934	1.5023	0.732
NA18939	1.3188	0.6134
NA18940	1.2451	0.5603
NA18941	1.0415	0.3878
NA18942	1.1522	0.4828
NA18943	2.3018	0.9373
NA18944	0.4427	0.01
NA18945	1.7373	0.8283
NA18946	0.6951	0.1058
NA18947	1.9355	0.8794
NA18948	1.0853	0.4281
NA18949	1.6873	0.8123
NA18950	2.0144	0.893
NA18951	1.1553	0.4848
NA18952	1.3878	0.6673
NA18953	0.6001	0.0587
NA18954	1.6104	0.7808
NA18956	1.8009	0.8482
NA18957	2.0202	0.8946
NA18959	0.9066	0.272
NA18960	0.9293	0.2935
NA18961	0.8033	0.1873
NA18962	0.9885	0.3375
NA18963	1.4264	0.6937
NA18964	1.3233	0.6186
NA18965	2.1948	0.9229
NA18966	1.469	0.7157
NA18967	1.6315	0.7887
NA18968	1.221	0.5443
NA18969	1.2248	0.5471
NA18970	1.3943	0.6729
NA18971	1.9852	0.8886
NA18972	1.9686	0.885
NA18973	0.9433	0.3075
NA18974	1.2015	0.5244
NA18975	1.7442	0.8327
NA18976	0.7981	0.1821
NA18977	1.3024	0.6046
NA18978	1.2508	0.5639
NA18979	1.3205	0.6146
NA18980	1.2976	0.601
NA18981	1.2191	0.5419
NA18982	0.5755	0.0491
NA18983	1.1942	0.518
NA18984	0.5829	0.0527
NA18985	1.1993	0.5216
NA18986	0.7551	0.1458
NA18987	1.2539	0.5659
NA18988	1.2678	0.5759
NA18989	1.5881	0.7708
NA18990	0.9358	0.3011
NA18991	1.044	0.3886
NA18992	0.752	0.1426
NA18993	1.0832	0.4257
NA18994	1.756	0.8347
NA18995	1.5663	0.7616
NA18997	2.0402	0.8986
NA18998	1.2823	0.5891
NA18999	1.0007	0.349
NA19000	0.7945	0.1793
NA19001	0.6626	0.0875
NA19002	1.5889	0.7712
NA19003	1.7612	0.8367
NA19004	1.4067	0.6829
NA19005	1.8676	0.8638
NA19006	3.0055	0.9796
NA19007	2.2031	0.9253
NA19009	3.4592	0.9904
NA19010	1.6973	0.8147
NA19011	1.2525	0.5651
NA19012	2.7637	0.97
NA19017	1.3713	0.6534
NA19019	1.1891	0.5144
NA19020	0.8142	0.1973
NA19023	1.032	0.3778
NA19024	1.0042	0.3534
NA19025	1.4551	0.7085
NA19026	0.9425	0.3055
NA19027	0.5508	0.0367
NA19028	1.0364	0.381
NA19030	1.0307	0.375
NA19031	1.5072	0.736
NA19035	1.4735	0.7177
NA19036	1.2121	0.5339
NA19037	1.4066	0.6825
NA19038	2.8044	0.9716
NA19041	0.6907	0.1014
NA19042	0.7347	0.1302
NA19043	0.851	0.2248
NA19054	1.0546	0.399
NA19055	2.6053	0.9629
NA19056	0.5935	0.0551
NA19057	2.7732	0.9708
NA19058	1.9198	0.8766
NA19059	1.1258	0.4573
NA19060	1.2896	0.5942
NA19062	2.3564	0.9421
NA19063	0.639	0.0759
NA19064	2.3674	0.9445
NA19065	1.0091	0.3558
NA19066	0.6948	0.1054
NA19067	2.1888	0.9217
NA19068	1.4598	0.7117
NA19070	0.8853	0.2528
NA19072	1.6255	0.7871
NA19074	0.5721	0.0471
NA19075	0.9517	0.3119
NA19076	1.909	0.8734
NA19077	1.0689	0.4121
NA19078	0.8151	0.1985
NA19079	1.8866	0.867
NA19080	0.7414	0.1334
NA19081	1.313	0.6106
NA19082	2.3877	0.9469
NA19083	1.2698	0.5763
NA19084	1.152	0.4824
NA19085	1.4668	0.7149
NA19086	1.3477	0.6326
NA19087	2.196	0.9241
NA19088	0.5568	0.0403
NA19089	1.0089	0.355
NA19090	1.1717	0.4996
NA19091	0.6603	0.0859
NA19092	1.1554	0.4852
NA19093	1.3463	0.6318
NA19095	0.8428	0.2204
NA19096	2.46	0.9529
NA19098	1.2764	0.5827
NA19099	1.4132	0.6861
NA19102	0.9468	0.3099
NA19107	1.0459	0.3902
NA19108	1.4203	0.6897
NA19113	1.4423	0.7025
NA19114	0.7798	0.1685
NA19116	0.5622	0.0443
NA19117	0.8264	0.2077
NA19118	1.5112	0.7384
NA19119	1.571	0.7636
NA19121	0.8125	0.1957
NA19129	1.1534	0.4844
NA19130	1.2811	0.5871
NA19131	0.8784	0.248
NA19137	0.902	0.2676
NA19138	1.13	0.4597
NA19141	0.902	0.2676
NA19143	1.4274	0.6945
NA19144	1.0854	0.4285
NA19146	1.175	0.5024
NA19147	0.9532	0.3135
NA19149	1.3582	0.6446
NA19152	1.1361	0.4669
NA19153	1.2129	0.5367
NA19159	0.8956	0.2616
NA19160	1.8516	0.8618
NA19171	1.0764	0.4213
NA19172	0.9339	0.2987
NA19175	1.6103	0.7804
NA19184	1.1453	0.474
NA19185	0.9277	0.2915
NA19189	1.9408	0.8802
NA19190	1.1815	0.5072
NA19197	1.5483	0.7548
NA19198	1.1428	0.4728
NA19200	1.5278	0.7468
NA19201	1.3751	0.6554
NA19204	0.8536	0.2272
NA19206	1.2971	0.6002
NA19207	1.2208	0.5435
NA19209	1.171	0.4976
NA19210	1.4707	0.7173
NA19213	1.0552	0.3994
NA19214	1.0446	0.3894
NA19222	1.0636	0.4046
NA19223	1.2958	0.5982
NA19225	1.7291	0.8251
NA19235	0.9658	0.3227
NA19236	0.8649	0.238
NA19238	1.0734	0.4173
NA19239	1.569	0.7624
NA19247	1.4555	0.7097
NA19248	2.0845	0.905
NA19256	1.562	0.7608
NA19257	0.8228	0.2057
NA19307	1.2861	0.5919
NA19308	0.7463	0.1374
NA19309	0.6916	0.1026
NA19310	2.1466	0.9165
NA19312	0.8425	0.2196
NA19314	1.2776	0.5847
NA19315	1.2161	0.5407
NA19316	0.7135	0.1166
NA19317	0.9287	0.2919
NA19318	1.8336	0.8566
NA19319	1.6512	0.7955
NA19320	1.5149	0.7392
NA19321	1.0284	0.3742
NA19323	1.0526	0.397
NA19324	0.834	0.2125
NA19327	0.9858	0.3355
NA19328	1.13	0.4597
NA19331	1.2	0.5228
NA19332	0.7682	0.1573
NA19334	1.9912	0.8906
NA19338	1.1013	0.4369
NA19346	1.48	0.7216
NA19347	1.6716	0.8063
NA19350	1.257	0.5691
NA19351	0.8343	0.2137
NA19355	1.0378	0.3842
NA19360	1.1945	0.5188
NA19372	0.6845	0.0974
NA19374	1.393	0.6709
NA19375	0.8015	0.1849
NA19376	1.0013	0.3502
NA19377	0.8947	0.2604
NA19378	1.3976	0.6757
NA19379	1.3199	0.6138
NA19380	1.2493	0.5623
NA19383	1.1488	0.4764
NA19384	1.2129	0.5367
NA19385	1.1348	0.4649
NA19390	1.166	0.4944
NA19391	1.0495	0.3946
NA19393	1.3456	0.631
NA19394	1.2338	0.5511
NA19395	1.0216	0.3658
NA19397	0.6037	0.0603
NA19399	2.0429	0.899
NA19401	1.5778	0.7676
NA19403	1.0274	0.3726
NA19404	0.897	0.2644
NA19428	0.8732	0.2432
NA19429	1.778	0.8435
NA19430	1.314	0.6118
NA19431	1.5466	0.754
NA19434	1.8001	0.8478
NA19435	1.4703	0.7169
NA19436	1.812	0.8522
NA19437	0.8434	0.2216
NA19438	1.1327	0.4637
NA19439	1.393	0.6709
NA19440	1.0628	0.4034
NA19443	1.4941	0.7288
NA19445	2.0577	0.9006
NA19446	1.2442	0.5595
NA19448	1.3247	0.621
NA19449	1.0273	0.3706
NA19451	1.3693	0.6514
NA19452	1.0385	0.3846
NA19454	1.0636	0.4046
NA19455	0.8217	0.2053
NA19456	2.3128	0.9385
NA19457	1.5918	0.7728
NA19461	1.3233	0.6186
NA19462	1.1484	0.4752
NA19463	0.8809	0.2496
NA19466	1.8383	0.8594
NA19467	1.4391	0.7001
NA19468	0.7002	0.107
NA19471	0.9578	0.3155
NA19472	1.956	0.883
NA19473	0.885	0.2524
NA19474	1.13	0.4597
NA19475	0.6902	0.1006
NA19625	1.3331	0.625
NA19648	0.8125	0.1957
NA19649	0.6523	0.0819
NA19651	1.3932	0.6717
NA19652	2.0901	0.9069
NA19654	1.0875	0.4297
NA19655	0.7886	0.1757
NA19657	2.4825	0.9549
NA19658	0.7798	0.1685
NA19661	0.7281	0.1262
NA19663	1.012	0.3582
NA19664	1.0188	0.3638
NA19669	0.8585	0.2332
NA19670	0.9753	0.3291
NA19676	1.2395	0.5551
NA19678	0.9052	0.2712
NA19679	1.0422	0.3882
NA19681	0.7589	0.1506
NA19682	1.3724	0.6546
NA19684	1.4318	0.6961
NA19700	1.1451	0.4736
NA19701	0.7316	0.1282
NA19703	1.9255	0.8778
NA19704	1.3939	0.6725
NA19707	1.1666	0.4956
NA19711	1.2219	0.5455
NA19712	1.0646	0.4081
NA19713	1.8216	0.8526
NA19716	0.3873	0.0056
NA19717	1.1999	0.5224
NA19719	1.1087	0.4449
NA19720	0.8946	0.26
NA19722	0.878	0.2476
NA19723	0.5402	0.0347
NA19725	1.13	0.4597
NA19726	0.3259	0.0012
NA19728	1.1518	0.4816
NA19729	0.7949	0.1805
NA19731	1.1519	0.482
NA19732	0.7381	0.1314
NA19734	0.6437	0.0779
NA19735	0.2344	4.00E-04
NA19740	0.4875	0.0188
NA19741	1.7643	0.8391
NA19746	0.7434	0.1354
NA19747	1.5963	0.774
NA19749	0.5955	0.0559
NA19750	1.052	0.3966
NA19752	1.2439	0.5583
NA19755	0.6036	0.0599
NA19756	1.3568	0.6414
NA19758	1.0783	0.4221
NA19759	0.7725	0.1601
NA19761	0.4503	0.0112
NA19762	0.8962	0.2628
NA19764	0.7496	0.1398
NA19770	0.9293	0.2935
NA19771	0.5799	0.0507
NA19773	2.02	0.8942
NA19774	2.2643	0.9333
NA19776	1.552	0.758
NA19777	1.4908	0.7264
NA19779	0.8849	0.252
NA19780	0.6944	0.1046
NA19782	1.7215	0.8231
NA19783	0.4912	0.02
NA19785	0.8923	0.2584
NA19786	4.39	0.9972
NA19788	0.5026	0.0224
NA19789	1.9433	0.881
NA19792	1.4929	0.7284
NA19794	2.2584	0.9317
NA19795	0.7186	0.1206
NA19818	1.6885	0.8127
NA19819	2.3115	0.9381
NA19834	1.3769	0.6577
NA19835	1.9038	0.8722
NA19900	1.2566	0.5683
NA19901	1.5458	0.7528
NA19904	1.2667	0.5751
NA19908	1.1205	0.4541
NA19909	1.4698	0.7165
NA19913	0.8586	0.2336
NA19914	3.9913	0.9952
NA19916	1.6442	0.7927
NA19917	1.0459	0.3902
NA19920	1.2121	0.5339
NA19921	0.9696	0.3251
NA19922	2.7636	0.9696
NA19923	1.2854	0.5915
NA19982	0.9756	0.3295
NA19984	0.9011	0.2664
NA20126	0.6511	0.0807
NA20127	1.1044	0.4429
NA20274	3.1144	0.9832
NA20276	1.1682	0.4964
NA20278	1.452	0.7069
NA20281	2.4958	0.9573
NA20282	2.4605	0.9533
NA20287	1.384	0.6641
NA20289	1.5186	0.742
NA20291	1.2483	0.5619
NA20294	0.745	0.1366
NA20296	2.3367	0.9413
NA20298	1.159	0.4868
NA20299	1.4273	0.6941
NA20314	0.9098	0.2744
NA20317	1.2222	0.5459
NA20318	0.8732	0.2432
NA20320	0.8962	0.2628
NA20321	0.9039	0.2696
NA20332	1.9855	0.889
NA20334	1.1248	0.4565
NA20339	1.3573	0.6418
NA20340	0.8267	0.2085
NA20342	1.7375	0.8287
NA20346	1.6696	0.8047
NA20348	1.6011	0.7756
NA20351	0.8037	0.1881
NA20355	1.356	0.6402
NA20356	1.0276	0.3734
NA20357	1.1765	0.5032
NA20359	1.9414	0.8806
NA20362	1.9003	0.8706
NA20412	0.8164	0.2001
NA20502	1.3584	0.6454
NA20503	1.0992	0.4357
NA20504	2.1657	0.9189
NA20505	0.9202	0.2843
NA20506	0.8817	0.2508
NA20507	0.7659	0.1554
NA20508	0.7076	0.1118
NA20509	0.8541	0.228
NA20510	1.5385	0.7496
NA20511	1.5294	0.7472
NA20512	1.5841	0.7688
NA20513	1.7745	0.8415
NA20514	1.5981	0.7748
NA20515	1.281	0.5867
NA20516	0.9161	0.2796
NA20517	0.726	0.1238
NA20518	1.1152	0.4497
NA20519	1.6045	0.7772
NA20520	1.257	0.5691
NA20521	1.2826	0.5895
NA20522	0.65	0.0795
NA20524	1.4207	0.6905
NA20525	1.6705	0.8059
NA20527	1.5028	0.7336
NA20528	1.5563	0.7596
NA20529	2.2566	0.9313
NA20530	1.2722	0.5787
NA20531	1.3903	0.6685
NA20532	0.7151	0.1186
NA20533	1.2725	0.5795
NA20534	1.9865	0.8894
NA20535	2.9562	0.9776
NA20536	1.485	0.7248
NA20538	0.4966	0.0216
NA20539	0.8705	0.2416
NA20540	1.4052	0.6793
NA20541	1.0399	0.3862
NA20542	1.6117	0.7815
NA20543	0.7736	0.1625
NA20544	1.3584	0.6454
NA20581	1.7813	0.8442
NA20582	0.957	0.3151
NA20585	0.8048	0.1889
NA20586	1.4031	0.6769
NA20587	1.0694	0.4129
NA20588	1.5702	0.7632
NA20589	1.4356	0.6973
NA20752	1.2775	0.5843
NA20753	1.1964	0.5196
NA20754	1.346	0.6314
NA20755	1.6316	0.7891
NA20756	1.7674	0.8399
NA20757	0.7947	0.1801
NA20758	0.9171	0.2808
NA20759	0.6083	0.0607
NA20760	2.6651	0.9653
NA20761	1.1727	0.5012
NA20762	0.9099	0.2748
NA20763	1.3784	0.6589
NA20764	1.6731	0.8083
NA20765	1.2655	0.5743
NA20766	0.8213	0.2049
NA20767	0.7311	0.1278
NA20768	1.3355	0.627
NA20769	1.2555	0.5671
NA20770	0.5811	0.0515
NA20771	1.4533	0.7081
NA20772	1.1921	0.5168
NA20773	1.5238	0.7444
NA20774	1.2869	0.5923
NA20775	1.2555	0.5671
NA20778	1.2349	0.5519
NA20783	1.0578	0.4014
NA20785	0.9645	0.3223
NA20786	0.9779	0.3315
NA20787	1.4096	0.6849
NA20790	1.0092	0.3562
NA20792	1.1883	0.5124
NA20795	0.7998	0.1841
NA20796	1.0555	0.3998
NA20797	0.6671	0.0907
NA20798	0.8201	0.2017
NA20799	1.2133	0.5375
NA20800	1.7813	0.8442
NA20801	1.0405	0.3866
NA20802	1.4356	0.6973
NA20803	0.717	0.1198
NA20804	0.8669	0.2396
NA20805	0.5167	0.0268
NA20806	1.1513	0.48
NA20807	0.9149	0.2792
NA20808	1.1097	0.4461
NA20809	1.8453	0.861
NA20810	1.9194	0.8762
NA20811	0.9833	0.3339
NA20812	1.3857	0.6657
NA20813	1.8362	0.8586
NA20814	1.7593	0.8359
NA20815	1.0167	0.361
NA20818	0.5973	0.0571
NA20819	1.8293	0.8546
NA20821	1.2416	0.5563
NA20822	1.3559	0.6394
NA20826	0.9262	0.2891
NA20827	1.0274	0.3726
NA20828	0.6416	0.0767
NA20832	0.6431	0.0775
NA20845	2.9833	0.9788
NA20846	1.3579	0.6438
NA20847	2.5127	0.9585
NA20849	2.022	0.8958
NA20850	1.2375	0.5543
NA20851	0.6578	0.0835
NA20852	0.9639	0.3219
NA20853	3.2165	0.9852
NA20854	1.4247	0.6933
NA20856	1.0843	0.4269
NA20858	1.3672	0.6494
NA20859	1.3851	0.6645
NA20861	1.0517	0.3958
NA20862	1.4982	0.7308
NA20863	1.7442	0.8327
NA20864	1.482	0.7228
NA20866	1.6375	0.7915
NA20867	1.1504	0.478
NA20868	1.1721	0.5
NA20869	2.8548	0.9736
NA20870	1.0571	0.4006
NA20872	0.5517	0.0371
NA20874	2.7864	0.9712
NA20875	1.3245	0.6206
NA20876	1.5094	0.738
NA20877	2.6878	0.9669
NA20878	1.9177	0.8758
NA20881	1.2624	0.5711
NA20882	1.428	0.6953
NA20884	1.8946	0.8686
NA20885	1.4048	0.6789
NA20886	0.4564	0.0128
NA20887	1.4373	0.6981
NA20888	1.6619	0.8011
NA20889	1.6934	0.8135
NA20890	1.1775	0.5044
NA20891	1.1675	0.496
NA20892	1.7757	0.8427
NA20894	1.1982	0.5204
NA20895	1.1505	0.4784
NA20896	1.4063	0.6821
NA20897	1.0716	0.4149
NA20899	0.9248	0.2871
NA20900	1.1183	0.4521
NA20901	1.4156	0.6877
NA20902	2.2388	0.9293
NA20903	0.9551	0.3139
NA20904	1.3437	0.6306
NA20905	1.4573	0.7109
NA20906	2.8048	0.972
NA20908	1.9226	0.877
NA20910	0.9262	0.2891
NA20911	1.2988	0.6022
NA21086	1.1373	0.4685
NA21087	0.9347	0.3003
NA21088	1.6872	0.8119
NA21089	1.8401	0.8602
NA21090	6.1822	0.9992
NA21091	0.8541	0.228
NA21092	1.462	0.7121
NA21093	1.3686	0.6506
NA21094	0.7569	0.1478
NA21095	1.7755	0.8419
NA21097	1.8541	0.8626
NA21098	0.8201	0.2017
NA21099	1.3551	0.639
NA21100	0.7875	0.1737
NA21101	1.1604	0.488
NA21102	3.3866	0.9892
NA21103	1.6102	0.78
NA21104	1.787	0.8458
NA21105	1.0736	0.4185
NA21106	1.6086	0.7788
NA21107	4.4974	0.998
NA21108	1.7019	0.8175
NA21109	0.7162	0.119
NA21110	1.0184	0.363
NA21111	1.1176	0.4517
NA21112	1.5057	0.7356
NA21113	1.7221	0.8235
NA21114	3.1684	0.9848
NA21115	2.1766	0.9197
NA21116	2.5085	0.9577
NA21117	2.2614	0.9325
NA21118	2.0933	0.9073
NA21119	1.6069	0.778
NA21120	2.4062	0.9489
NA21122	1.539	0.7504
NA21123	2.1076	0.9109
NA21124	1.8974	0.8694
NA21125	1.3722	0.6542
NA21126	1.527	0.746
NA21127	2.9173	0.9772
NA21128	1.4815	0.7224
NA21129	1.6951	0.8139
NA21130	2.6096	0.9633
NA21133	2.2319	0.9285
NA21135	1.4954	0.73
NA21137	1.0216	0.3658
NA21141	0.9168	0.2804
NA21142	1.1216	0.4549
NA21143	1.1516	0.4812
NA21144	1.3667	0.649
