Disease	colorectal cancer	Rank_colorectal cancer
HG00683	0.9593	0.3175
HG00684	0.8519	0.2252
HG00689	0.5359	0.0335
HG00690	1.3167	0.613
HG00692	2.4553	0.9521
HG00693	1.1786	0.5064
HG00698	0.382	0.0044
HG00699	1.2215	0.5451
HG00701	1.8805	0.8658
HG00704	0.6353	0.0731
HG00705	0.8596	0.2348
HG00707	0.789	0.1765
HG00708	1.7423	0.8311
HG00717	1.6496	0.7951
HG00728	0.5692	0.0467
HG00729	0.9667	0.3231
HG00731	1.3294	0.623
HG00732	0.6706	0.0919
HG00734	1.3421	0.6282
HG00736	1.486	0.7252
HG00737	1.4664	0.7145
HG00739	3.2877	0.9876
HG00740	1.1398	0.4704
HG00742	0.6173	0.0627
HG00743	0.793	0.1781
HG00759	0.4492	0.0108
HG00766	0.385	0.0052
HG00844	0.7949	0.1805
HG00851	1.0112	0.3578
HG00864	1.2746	0.5815
HG00867	1.3485	0.633
HG00879	0.6643	0.0887
HG00881	1.6342	0.7907
HG00956	1.0017	0.3514
HG00978	0.714	0.1174
HG00982	0.9552	0.3147
HG01028	0.6259	0.0667
HG01029	1.5891	0.772
HG01031	1.0186	0.3634
HG01046	0.9421	0.3051
HG01047	3.0892	0.9824
HG01048	1.0193	0.365
HG01049	1.1104	0.4469
HG01051	1.699	0.8159
HG01052	1.3769	0.6577
HG01054	1.1319	0.4633
HG01055	1.1149	0.4489
HG01058	0.8449	0.2224
HG01060	1.3584	0.6454
HG01061	2.4032	0.9485
HG01063	1.3099	0.6082
HG01064	0.977	0.3307
HG01066	1.2116	0.5335
HG01067	2.1622	0.9181
HG01069	0.4322	0.0092
HG01070	0.7777	0.1661
HG01072	0.534	0.0327
HG01073	0.9259	0.2887
HG01075	1.0929	0.4321
HG01077	1.1488	0.4764
HG01079	1.4505	0.7065
HG01080	1.5031	0.734
HG01082	0.9729	0.3267
HG01083	0.9902	0.3399
HG01085	0.9211	0.2851
HG01086	0.8775	0.2472
HG01088	1.3616	0.647
HG01089	1.7583	0.8351
HG01092	0.8799	0.2492
HG01094	0.6426	0.0771
HG01095	0.8142	0.1973
HG01097	1.2647	0.5727
HG01098	1.5152	0.7396
HG01101	0.9887	0.3379
HG01102	0.9267	0.2903
HG01104	0.8389	0.2165
HG01105	1.0581	0.4018
HG01107	1.0315	0.3774
HG01108	1.0263	0.3698
HG01110	0.64	0.0763
HG01111	2.0217	0.8954
HG01112	1.5273	0.7464
HG01113	0.6938	0.1042
HG01119	2.4263	0.9501
HG01121	0.6631	0.0879
HG01122	0.8156	0.1989
HG01124	0.7875	0.1737
HG01125	1.0857	0.4289
HG01130	0.5763	0.0495
HG01131	0.5961	0.0567
HG01133	2.1068	0.9105
HG01134	0.5747	0.0483
HG01136	0.7706	0.1585
HG01137	0.7345	0.1298
HG01139	0.9942	0.3427
HG01140	1.2052	0.5296
HG01142	1.2248	0.5471
HG01148	0.7727	0.1605
HG01149	1.6858	0.8115
HG01161	1.7908	0.8466
HG01162	1.0276	0.3734
HG01164	0.9506	0.3115
HG01167	0.8866	0.254
HG01168	2.1046	0.9101
HG01170	0.4747	0.0148
HG01171	3.4841	0.9908
HG01173	1.2362	0.5531
HG01174	1.1149	0.4489
HG01176	0.9	0.2656
HG01177	1.0142	0.3594
HG01182	0.9676	0.3235
HG01183	0.7794	0.1677
HG01187	0.7504	0.1402
HG01188	0.6207	0.0647
HG01190	1.4031	0.6769
HG01191	1.3426	0.6286
HG01197	0.4766	0.0156
HG01198	0.8144	0.1981
HG01200	1.0231	0.3678
HG01204	1.4462	0.7041
HG01205	0.8211	0.2045
HG01241	0.8067	0.1913
HG01242	1.1617	0.4908
HG01247	1.2722	0.5787
HG01248	0.9345	0.2999
HG01250	0.9374	0.3023
HG01251	0.4389	0.0096
HG01253	0.879	0.2488
HG01254	0.7424	0.1342
HG01256	0.7598	0.1522
HG01257	1.5549	0.7584
HG01259	0.9738	0.3275
HG01260	1.3637	0.6486
HG01269	1.1095	0.4457
HG01271	0.8364	0.2153
HG01272	0.9438	0.3091
HG01275	1.4796	0.7212
HG01277	1.1927	0.5172
HG01280	1.3821	0.6605
HG01281	1.6169	0.7839
HG01284	0.8871	0.2552
HG01286	1.0357	0.3802
HG01302	1.4638	0.7129
HG01303	0.7702	0.1581
HG01305	0.9453	0.3095
HG01308	0.5852	0.0531
HG01311	1.1033	0.4417
HG01312	1.5381	0.7492
HG01323	0.8987	0.2648
HG01325	0.6615	0.0867
HG01326	1.1822	0.508
HG01334	1.2997	0.603
HG01341	1.0373	0.3834
HG01342	2.1988	0.9249
HG01344	0.5384	0.0343
HG01345	0.5734	0.0475
HG01348	0.7142	0.1182
HG01350	0.8026	0.1865
HG01351	0.7868	0.1729
HG01353	1.0721	0.4157
HG01354	0.9276	0.2907
HG01356	0.7137	0.117
HG01357	1.1615	0.49
HG01359	1.1374	0.4692
HG01360	1.205	0.5292
HG01362	1.6547	0.7983
HG01363	0.6334	0.0719
HG01365	3.313	0.988
HG01366	0.7057	0.1102
HG01369	0.532	0.0323
HG01372	0.7912	0.1777
HG01374	1.6419	0.7919
HG01375	1.1503	0.4776
HG01377	1.1608	0.4888
HG01378	0.9133	0.278
HG01383	0.9583	0.3167
HG01384	0.7088	0.1126
HG01389	0.8619	0.2356
HG01390	0.4518	0.012
HG01392	1.8308	0.8558
HG01393	0.9388	0.3027
HG01395	1.6302	0.7879
HG01396	1.4181	0.6881
HG01398	0.612	0.0623
HG01402	0.9019	0.2672
HG01403	1.05	0.395
HG01405	0.8881	0.2556
HG01412	1.0643	0.4073
HG01413	0.6317	0.0711
HG01414	1.1301	0.4621
HG01431	0.751	0.141
HG01432	1.0773	0.4217
HG01435	1.8845	0.8666
HG01437	1.0629	0.4038
HG01438	0.908	0.2728
HG01440	1.1288	0.4581
HG01441	1.0665	0.4109
HG01443	0.8432	0.2212
HG01444	0.834	0.2125
HG01447	1.2832	0.5899
HG01455	0.6907	0.1014
HG01456	0.5587	0.0415
HG01459	1.1268	0.4577
HG01461	0.5614	0.0435
HG01462	1.157	0.4856
HG01464	1.2247	0.5467
HG01465	1.6471	0.7935
HG01468	1.589	0.7716
HG01474	0.6785	0.095
HG01479	1.6674	0.8031
HG01485	0.7413	0.133
HG01486	1.0512	0.3954
HG01488	0.7527	0.1434
HG01489	1.4052	0.6793
HG01491	0.8967	0.2636
HG01492	1.0685	0.4117
HG01494	1.0979	0.4345
HG01495	0.89	0.2576
HG01497	0.6721	0.0927
HG01498	0.4793	0.0164
HG01500	1.4915	0.7276
HG01501	0.9902	0.3399
HG01503	1.0783	0.4221
HG01504	0.8366	0.2157
HG01506	1.5238	0.7444
HG01507	1.3539	0.6382
HG01509	1.7381	0.8291
HG01510	0.7749	0.1629
HG01512	1.521	0.7432
HG01513	0.5239	0.03
HG01515	1.2441	0.5591
HG01516	0.3933	0.0064
HG01518	1.4911	0.7268
HG01519	0.5953	0.0555
HG01521	1.1348	0.4649
HG01522	2.1555	0.9177
HG01524	1.3265	0.6222
HG01525	0.9041	0.27
HG01527	0.6309	0.0695
HG01528	1.2651	0.5731
HG01530	1.1389	0.47
HG01531	1.1288	0.4581
HG01536	0.7808	0.1693
HG01537	1.8026	0.8486
HG01550	0.8545	0.2292
HG01551	1.3115	0.609
HG01556	1.0228	0.3674
HG01565	0.7955	0.1813
HG01566	1.6703	0.8055
HG01571	1.6512	0.7955
HG01572	0.6935	0.1038
HG01577	1.1881	0.512
HG01578	0.9859	0.3359
HG01583	3.4072	0.9896
HG01586	1.4528	0.7077
HG01589	2.5566	0.9613
HG01593	1.3527	0.6362
HG01595	1.1457	0.4744
HG01596	1.0732	0.4169
HG01597	1.2349	0.5519
HG01598	0.6489	0.0787
HG01599	0.8588	0.2344
HG01600	1.8793	0.8654
HG01602	0.9681	0.3239
HG01603	0.7574	0.149
HG01605	2.9157	0.9768
HG01606	0.6273	0.0683
HG01607	0.8755	0.2452
HG01608	1.2984	0.6014
HG01610	1.6986	0.8155
HG01612	1.2421	0.5571
HG01613	1.4147	0.6869
HG01615	1.5195	0.7424
HG01617	0.827	0.2089
HG01618	0.7128	0.1158
HG01619	1.4764	0.7188
HG01620	1.4498	0.7061
HG01623	0.8534	0.2268
HG01624	0.7873	0.1733
HG01625	1.2075	0.5308
HG01626	0.6729	0.0931
HG01628	0.7909	0.1773
HG01630	0.4725	0.0144
HG01631	1.2774	0.5839
HG01632	1.9159	0.875
HG01668	2.9139	0.9764
HG01669	1.534	0.7488
HG01670	2.1171	0.9133
HG01672	0.5955	0.0559
HG01673	1.4073	0.6833
HG01675	1.1624	0.4912
HG01676	0.6916	0.1026
HG01678	1.7165	0.8203
HG01679	1.2085	0.5315
HG01680	0.9433	0.3075
HG01682	1.1715	0.4992
HG01684	0.9889	0.3383
HG01685	1.3904	0.6689
HG01686	1.4795	0.7208
HG01694	0.6504	0.0799
HG01695	1.0618	0.403
HG01697	0.9332	0.2971
HG01699	0.8586	0.2336
HG01700	1.643	0.7923
HG01702	1.0803	0.4233
HG01704	2.197	0.9245
HG01705	0.9599	0.3187
HG01707	3.22	0.986
HG01708	2.4598	0.9525
HG01709	0.8068	0.1917
HG01710	0.5544	0.0379
HG01746	1.3573	0.6418
HG01747	0.8584	0.2328
HG01756	0.5613	0.0431
HG01757	1.2952	0.5974
HG01761	0.9231	0.2859
HG01762	0.7564	0.1466
HG01765	1.0559	0.4002
HG01766	0.9021	0.2684
HG01767	1.7717	0.8407
HG01768	2.4311	0.9505
HG01770	1.1842	0.5092
HG01771	1.3777	0.6585
HG01773	0.6878	0.0994
HG01775	0.9184	0.2835
HG01776	0.8499	0.224
HG01777	0.7576	0.1494
HG01779	2.5546	0.9609
HG01781	1.6644	0.8019
HG01783	0.7276	0.1254
HG01784	1.296	0.599
HG01785	0.7883	0.1753
HG01786	1.3709	0.653
HG01789	1.192	0.516
HG01790	1.2437	0.5579
HG01791	1.8724	0.8646
HG01794	0.6109	0.0615
HG01795	0.8076	0.1929
HG01796	0.6928	0.1034
HG01797	0.7775	0.1657
HG01798	1.0016	0.351
HG01799	0.7646	0.1542
HG01800	0.7511	0.1414
HG01801	1.0059	0.3542
HG01802	1.0039	0.353
HG01804	1.2954	0.5978
HG01805	0.4244	0.0088
HG01806	0.8037	0.1881
HG01807	0.4641	0.0136
HG01808	0.7111	0.1142
HG01809	0.6008	0.0591
HG01810	1.297	0.5998
HG01811	0.5048	0.024
HG01812	1.8487	0.8614
HG01813	1.0307	0.375
HG01815	0.8866	0.254
HG01816	0.725	0.1234
HG01817	1.6487	0.7943
HG01840	0.975	0.3279
HG01841	0.7035	0.109
HG01842	0.6259	0.0667
HG01843	1.1459	0.4748
HG01844	1.3307	0.6238
HG01845	1.0729	0.4165
HG01846	1.2755	0.5823
HG01847	0.5566	0.0399
HG01848	0.7855	0.1717
HG01849	0.8495	0.2232
HG01850	1.5036	0.7344
HG01851	1.2933	0.5958
HG01852	1.9176	0.8754
HG01853	1.2504	0.5631
HG01855	0.3725	0.0036
HG01857	1.326	0.6214
HG01858	1.0002	0.3478
HG01859	1.741	0.8295
HG01860	0.6213	0.0655
HG01861	1.7421	0.8307
HG01862	0.754	0.145
HG01863	0.8325	0.2121
HG01864	0.6312	0.0703
HG01865	0.8888	0.2564
HG01866	0.5374	0.0339
HG01867	0.7826	0.1705
HG01868	1.2668	0.5755
HG01869	0.6358	0.0735
HG01870	0.633	0.0715
HG01871	0.7277	0.1258
HG01872	1.3923	0.6701
HG01873	0.6238	0.0663
HG01874	0.9985	0.3466
HG01878	0.8083	0.1941
HG01879	0.5268	0.0308
HG01880	2.697	0.9673
HG01882	1.244	0.5587
HG01883	2.0438	0.8994
HG01885	0.8869	0.2548
HG01886	1.1019	0.4385
HG01889	1.13	0.4597
HG01890	1.4925	0.728
HG01892	0.7425	0.1346
HG01893	1.0246	0.3694
HG01894	1.7172	0.8211
HG01896	2.8782	0.9748
HG01912	1.0923	0.4317
HG01914	0.7456	0.137
HG01915	1.3212	0.6154
HG01917	1.1772	0.504
HG01918	0.4965	0.0212
HG01920	0.6473	0.0783
HG01921	0.8308	0.2117
HG01923	0.8969	0.264
HG01924	0.6829	0.0966
HG01926	0.7196	0.1214
HG01927	1.192	0.516
HG01932	0.6489	0.0787
HG01933	1.5805	0.768
HG01935	0.7664	0.1562
HG01936	0.8021	0.1861
HG01938	0.7285	0.1266
HG01939	0.5544	0.0379
HG01941	1.6682	0.8039
HG01942	0.6309	0.0695
HG01944	0.9165	0.28
HG01945	2.2984	0.9369
HG01947	0.67	0.0911
HG01948	0.7431	0.135
HG01950	1.0738	0.4189
HG01951	0.7465	0.1386
HG01953	0.5019	0.022
HG01954	0.8489	0.2228
HG01956	1.6977	0.8151
HG01958	0.8163	0.1997
HG01961	1.466	0.7137
HG01965	1.5595	0.7604
HG01967	0.6361	0.0739
